No,Question,Image_URL,Answer A,Answer B,Answer C,Answer D,Correct Answer,Explanation
1,"You have data about the top five causes of flight delays that occurred over the past three years, including how many minutes each flight varied from being on time, both early and late. For a list of causes, you have the frequency each cause occurred. You also have enough data about multiple causes for each flight delay to find correlations between factors. Which of the following quality tools would help you the most to identify the causes leading to the highest number of delays?",,Scatter diagram,Control chart,Histogram,Cause-and-effect diagram,C,"According to the scenario provided, you are carrying out the Manage Quality process. A histogram is an example of the data representation technique that can be used during this process. A histogram is a vertical bar chart that shows a graphical representation of numerical data. The question is asking you to focus on the most significant causes. You have the data to display the causes and rank them based on the frequency they occur to identify the vital few causes responsible for most of your delays, thus making the histogram the best answer to the question asked. Additionally, the causes can be sorted by their frequency to identify the top cause(s). This sorting turns the simple histogram into what is called a Pareto chart. Although it is not mentioned in the current edition of the PMBOK® Guide, the Pareto chart is a type of histogram that displays causes, sorted so the most frequent causes are first, which helps you prioritize what will give you the best return on investment in addressing the top causes. For example, potential categories may include causes such as 'weather', 'mechanical issues', 'security', 'other'. The corresponding bars are then plotted on the horizontal axis in descending order of magnitude starting with the source that most frequently contributes to the flight delays and going down to the source, such as 'other', that has the least number of occurrences. Then, the Pareto principle of 80/20 can be applied to focus on the most significant 20% sources that contribute to the 80% of the flight delays."
2,"A team member working in a matrix organization has produced two major deliverables that failed to meet the quality specifications. The project coordinator tried to clear up misunderstandings about the specifications, but the quality issues persisted. The project coordinator approached the employee's functional manager to help resolve the problem. What kind of power is the project coordinator asking the functional manager to invoke?",,Persuasive,Expert,Coercive,Legitimate,D,"Positional (also known as formal, authoritative, and legitimate) power is based on formal position granted in the hierarchy of the organization, or the authority granted by the project charter. This is the kind of power you can use when assigning work to someone who reports to you. According to the scenario described, the project team is working for a company structured as a matrix organization. A functional manager has more legitimate authority in a matrix organization than a project coordinator. Therefore, by turning to the functional manager, the project coordinator is invoking legitimate power."
3,"You are assisting a project sponsor with the development of a document, which authorizes a product development project. Currently, you need to identify the project's key deliverables for inclusion in the document. What might you do to obtain this information?",,Ask the project sponsor for a copy of the project charter,Research the company's organizational process assets,Invite the project sponsor and other key stakeholders to join a conference call,Look at the project scope statement,C,"The question implies that the project charter is the document that is being developed. The project charter is a document issued by the project initiator or sponsor that formally authorizes the existence of a project and provides the project manager with the authority to apply organizational resources to project activities. The project charter is created as an output of the Develop Project Charter process. Meetings are one of the tools and techniques that may be used during the Develop Project Charter process, and a conference call is a type of meeting. During the Develop Project Charter process, meetings may be held with key stakeholders to identify the project objectives, success criteria, key deliverables, high-level requirements, summary milestones, and other summary information. The incorrect answer choices represent sources of information that are not yet available at this point in the project or would not have the needed information. Therefore, of the available choices, the best way for you, as the project manager, to obtain information on the project's key deliverables is to invite the project sponsor and other key stakeholders to join a conference call."
4,You are leading a software development project for a client. The change control board (CCB) has been inundated with change requests from the client throughout the project as the product has evolved. This situation drives the team crazy and makes controlling the project scope extremely challenging and time-consuming. Which of the following tailoring considerations might you have missed earlier in the project?,,Diversity,Stability of requirements,Physical location,Validation and control,B,"The question describes a situation where the client is continually changing the project requirements as the product under development evolves. This situation is driving the client to submit change requests, which must be reviewed by the change control board (CCB). Projects, where the product under development is expected to evolve throughout the project, can be said to have unstable requirements. The stability of requirements should be considered to determine the appropriate development approach. In this case, it is apparent that the strict change control processes and procedures of a traditional waterfall approach are not well suited to the needs of the client who is forced to submit change requests as the product changes and evolves. In this circumstance, an agile approach may have been more appropriate for the project. An agile approach welcomes change and harnesses it for the customer's benefit. Had you, as the project manager, considered the stability (or, in this case, instability) of the product requirements, you may have selected an approach more appropriate for the project. For example, the project, at a high level, could have still been lead using waterfall, but the actual development of the product performed by the team could have been carried out using agile, thus making the whole project hybrid. Note, the development approach is also a tailoring consideration for the scope management processes, but it was not offered as an answer choice. Therefore, of the available options, the stability of requirements is the best answer to the question asked."
5,"You are in the process of obtaining team members for the project you are managing. Some of the selected individuals have existing obligations for other projects, which limits their availability for your project. What should you do to ensure that information about the availability of the team members is documented?",,Capture the availability of the team members in the stakeholder register,Update the project schedule to reflect the team members' availability,Record the availability of the team members in the resource calendar,Request the human resources manager to update the resource breakdown structure,C,"The question implies that the project team members are being selected as part of the Acquire Resources process. One of the outputs of this process is the resource calendars. A resource calendar identifies the working days, shifts, start and end of normal business hours, weekends, and public holidays when each specific resource is available. Resource calendars also specify when and for how long identified team and physical resources will be available during the project. In this scenario, some of the selected project team members have availability limitations. These limitations can be documented in the resource calendar. Therefore, recording the team members' availability in the resource calendar is the best answer to the question asked."
6,"As part of project activities, new equipment should be installed at a plant. The plant manager informs the project manager that due to the nature of work, the installation of the equipment must be done prior to hiring seasonal staff. Which of the following statement is correct?",,"There is a mandatory dependency between the hiring of seasonal staff and the equipment
installation.","There is an early finish date between the hiring of seasonal staff and the equipment
installation.","There is no dependency between what the project team is working on and the plant
manager's operations.","There is a discretionary dependency between the installation of the equipment and the
hiring of seasonal staff.",A,"Dependency determination is among the tools and techniques that can be used as part of the Sequence Activities process. In the scenario, the plant manager informs the project manager that the installation of equipment must be done prior to the hiring of staff. That requirement makes the dependency between these two activities as mandatory."
7,"A change request has been approved and is currently being implemented by the project team. According to the project life cycle shown on the chart below, which of the following is true about project costs and risks associated with the process group described in this scenario?",images\test_5\q_7.png,Both the cost of changes and the project risk are zero.,The cost of changes is lowest while the project risk is highest.,The cost of changes is nearly equal to project risk.,The cost of changes is highest while project risk is lowest.,C,"All projects can be mapped to the generic life cycle consisting of five Process Groups: Initiating takes place at the beginning of a project, then Planning, then Executing takes place in the middle, and then the project ends with Closing. Processes of the Monitoring and Controlling Process Group are carried out throughout the project. According to the project generic life cycle, the cost of changes are about equal to project risks in the middle or late middle of the project. In the scenario, the project team is currently implementing an approved change request. This activity is undertaken in the Direct and Manage Project Work process, part of the Executing Process Group. Since execution takes place approximately halfway into the project timeline where the curve representing the cost of changes intersects with the curve representing the risk, it would be true to say that the cost of changes is nearly equal with project risk. If you are still not convinced, consider this: the lowest/highest values as far as the cost of changes and risk are concerned, apply to the very beginning or end of the project. One moment after the project has been initiated, the cost of changes is one tick higher than its lowest level, and the risk is one tick lower than its highest level. Same applies to project closure: one moment before the project is closed, the cost of changes is one tick lower than its highest level, and the risk is one tick higher than its lowest level."
8,"As your project has uncovered new methodologies to achieve results exceeding all expectations, your team sees an opportunity to attach the project work to a larger initiative in the company beyond the boundaries of the project. You and a few key team members present the idea with the project sponsor and other executives. Which risk strategy was used?",,Exploit,Transfer,Mitigate,Escalate,D,"This question is asking, which risk strategy was used in this scenario. The PMBOK® Guide describes five strategies for opportunities and five strategies for threats. The situation describes a positive risk or opportunity, therefore mitigate and transfer strategies that apply to threats, are incorrect choices. An exploit strategy means that the project team ensures that the probability that a positive event happens is 100%, so that corresponding benefits can be gained. When using an exploit strategy, the risks still stays within the bounds of the current project scope in terms of response and monitoring and controlling, which is not the case in this scenario. The question describes an opportunity that goes beyond the project and outside of the project manager’s scope of authority, in which case, the project manager and other key team members notify the project sponsor and other executives. After escalation, the opportunity is not further monitored by the project team. It is up to the project sponsors and other executives to take advantage of the opportunity. Note that the escalate strategy applies not only to opportunities but the threats as well."
9,"Early in project execution, you obtain some of the equipment, materials, and supplies needed for a project you are managing. Since you feel the acquisition of these resources was very efficient, you want to ensure this best practice is available to the project stakeholders to improve the future performance of the current project. What is your best course of action?",,Document the best practice in the resource management plan,Begin project closure as the project objectives have been achieved,Add the knowledge gained to the enterprise environmental factors,Inform the procurement department's manager of the best practice,A,"The question suggests that you, as the project manager, were performing the Acquire Resources process when knowledge which might improve the process of acquiring future resources was gained. Updates to the project management plan, including its components such as the resource management plan, are an output of this process. Updating the resource management plan to include the best practice may improve future project performance. Therefore, of the available options, documenting the best practice in the resource management plan is the best answer to the question asked. Note, an approved change request is needed for the resource management plan to be updated. One may argue that updating the resource management with the actual experience in acquiring project resources, especially if the acquisition went well, is not required since the resources have been acquired according to the plan. While this may indeed be a plausible argument, the reference specifically indicates that ""The resource management plan may be updated to reflect actual experience in acquiring resources for the project, including lessons learned in acquiring resources early in the project that will impact how resources are acquired later in the project."" This description closely matches the situation described in the scenario, thus making the update of the resource management plan the best answer to the question asked. Another argument can be made that updating a lessons learned register would be a better answer. While updating the lessons learned register could be a plausible choice, this answer is not provided amongst the choices."
10,A project manager has ongoing issues with a pre-qualified seller who has repeatedly failed to meet quality standards specified in the contract. The seller has also been unresponsive when the project manager has tried to resolve the quality issues. The project manager wants to ensure that this seller will not be considered again for future contracts. What is the best course of action for the project manager to take in this situation?,,Remove the seller from the prequalified sellers list,Capture the information in the issue log,Update the project management plan,Conduct a procurement audit,A,"The question implies that the Control Procurements process is being performed, and one of the organizational process assets associated with this process is prequalified seller lists. Prequalified seller lists contain potential sellers who are previously qualified (approved). These lists can be updated as an output of the Control Procurements process, and sellers can be disqualified and removed from the lists based on poor performance, such as the one described in the scenario. Therefore, of the choices provided, to ensure that this seller will not be considered again for future contracts, removing the seller from the prequalified sellers list is the best course of action for the project manager to take in this situation."
