No,Question,Image_URL,Answer A,Answer B,Answer C,Answer D,Correct Answer,Explanation
1,"Two team members continue to have arguments and opposing views on an issue. As a project manager, you are becoming concerned that their disagreement could affect their other tasks. You understand the issue but have not intervened hoping they can resolve the issue between themselves. Which of the following is the most appropriate action to take?",,Meet with the two project members in an attempt to facilitate a solution,As project manager make an immediate and final decision,Escalate the issue to the sponsor,Get stakeholder input,A,"The question should be read carefully to assess the situation being presented. Although the question states the two team members need to resolve the situation, the situation is not presented as critical, nor has the project manager attempted to facilitate a solution. When conflict arises, which becomes a negative factor or issue, the project team members are initially responsible for resolving the issue. If the team members fail to resolve their differences, it is the responsibility of the project manager to become involved and attempt to facilitate a solution. Using a force/direct approach, which involves pushing one's viewpoint at the expense of others results in a win-lose situation and may have a negative impact on the team if facilitation and compromise are not attempted first."
2,"You have been assigned to manage a project that is in execution. The previous project manager was transferred to another division within the company. As you review the documentation on the project, you realize that a project charter was never established. What is your best course of action?",,Establish a project charter at the point where you entered the project,Continue the project without a project charter,Terminate the project because a project cannot exist without a project charter,Wait and see if a project charter is necessary,A,"The primary purpose of the charter is to formally authorize the project and, most importantly, provide the project manager with the authority to apply organizational resources to project activities. In this situation, the project has already begun without a charter. However, the scenario does not provide details about how well the project is progressing. Projects without charters can suffer for multiple reasons. A project charter defines what the project should deliver and sets out management’s expectations for results. Therefore, without a charter, there are no clear expectations for project outcomes allowing the potential for the project to drift without any real results. Also, the project can face roadblocks due to the unavailability of resources and the project manager not having the written authority to acquire resources. Since the scenario does not give any details on the project other than it does not have a charter, and the project charter has significant benefits, the best answer to the question asked is to develop a charter at the point where you entered the project."
3,Which of the following would not be an effective strategy and the least likely choice for a project manager to promote the sharing of tacit knowledge on a project?,,"Hosting workshops, seminars, and information sessions",Providing work shadowing and reverse shadowing opportunities,Promote attending knowledge-sharing events such as conferences and other networking events,Create a lessons learned register for every project,D,"The project manager is looking for a way to share her and others' experience, insights, opinions, and ""know-how"" or her tacit knowledge within the organization. Tacit knowledge is personal, requires context, and is difficult to express. This differs from explicit knowledge that can be easily recorded using words, pictures, and numbers. This question asks, which is the least effective choice for capturing tacit knowledge. Using information management systems such as a lessons learned register may be a good way to capture explicit, codified knowledge gained after each project, but is the least effective method to capture and share tacit knowledge."
4,You recently submitted a change request to the change control board (CCB) for an updated communications management plan to include more frequent and detailed project status updates with the intent of addressing declining stakeholder engagement. Where is the best place to find the decision status of the change request?,,Change log,Project charter,Stakeholder register,Lessons learned register,A,"The project manager is conducting the project management process of Manage Stakeholder Engagement. As a result of this process, an issue has been identified which is negatively impacting stakeholder engagement, and a change request has been submitted to the change control board (CCB) to update the communications management plan. One of the outputs of the Manage Stakeholder Engagement process is document updates which include the change log among others. The change log is updated with the decision status of change requests, therefore, viewing the change log will allow you to determine if the request was approved."
5,"A_construction site is located in an earthquake-prone area. After spending considerable time discussing and analyzing this risk, the team agreed that the best way to deal with this risk was to build an earthquake-resistant foundation using a high-grade concrete. However, several weeks into construction, the project manager learns that this special type of concrete was never ordered, even though the risk response was documented in the risk register. The project will now have to be suspended. What most likely went wrong?",,The project team failed to have a fallback plan.,The risk was never documented in the risk register.,No action has been taken to implement the risk response.,The risk response was not approved by the change control board.,C,"The question states that the project team spent considerable time discussing and analyzing this risk event and had an agreed-upon risk response, and yet, the risk response was never implemented. This suggests that the project team rushed or overlooked the Implement Risk Responses process. This is a common problem in risk management, where project teams spend too much effort in identifying, analyzing, and documenting risks and risk responses, but then no action is taken to manage the risk. Giving proper attention to the Implement Risk Responses process is just as important as risk planning for addressing overall project risk exposure, minimizing individual project threats, and maximizing individual project opportunities."
6,"For an upcoming project, a needs assessment and business case have been completed, and the project management office (PMO) is reviewing a draft of the benefits management plan. The PMO highlights an element of the benefits management plan and requests that the element be removed before the document is finalized. Which of the following was most likely the element the PMO requested to remove?",,Expected tangible and intangible value to be gained by the implementation of the project,A set of options to be considered for addressing the business opportunity,A timeframe for realizing the benefits of the project,Measures to be used to show benefits realized,B,"The key elements of a benefits management plan include target benefits, strategic alignment, a timeframe for realizing benefits, benefits owner, metrics, assumptions, and risks. Identification of a set of options to be considered for addressing the business problem or opportunity is a key element of the project business case and should not be included in the benefits management plan. This element is most likely what was marked for removal by the PMO."
7,"You are leading a project to write content in three different languages. The project team is colocated for greater effectiveness. Unfortunately, the only project team member who can translate the documents into French has a leg injury and is unable to commute to the office for the next three weeks. What is the best course of action if you want to keep the project on track?",,Delay the French release until the team member is back to the office,Hire an external firm to translate the content into French,Run the Acquire Resources process to replace the team member,Organize the project team members as a virtual team,D,"One of the tools that a project manager can employ during the Acquire Resources process is the use of a virtual team. Allowing the team member to work remotely temporarily is the best solution of the available answer choices as it would have the least impact on project performance. There is not enough information in the question to determine if the colocation is mandatory per company policy. Therefore, organizing the project members as a virtual team to keep the project on track should have priority over a preference for colocation for greater effectiveness. Note, when only one team member works remotely, calling the entire team virtual can be a stretch. However, of the choices provided, organizing the project team members as a virtual team is the best answer to the question asked."
8,"You are part of a small quality assurance team that is responsible for doing quality testing before each project deliverable is released to the customer. Your job is to confirm that the project processes are conforming to the company's quality standards and to identify areas for process improvement. As part of your analysis, your team makes use of flowcharts, matrix diagrams, audits, and affinity diagrams. What quality process is your team performing?",,Plan Quality Management,Control Quality,Perform Quality Analysis,Manage Quality,D,"The team is analyzing the process to ensure the project's conformance to the company's quality standards and to identify areas for process improvement, which means they are performing Manage Quality. A hint is that audits are a tool listed only for the process of Manage Quality, whereas the other tools and techniques listed may be used in Manage Quality in addition to Plan Quality Management and Control Quality processes."
9,"Using the appropriate tools and techniques, the project team have collected a set of requirements for the project. What is the next step in defining which requirements will be included as part of the project?",,Creating a work breakdown structure,Developing a scope management plan,Building a working prototype,Performing the Define Scope process,D,"Since not all of the requirements identified in Collect Requirement process may be included in the project, the project team performs the Define Scope process to select the final project requirements from the requirements documentation that was created during the Collect Requirements process. One of the major outputs from the Define Scope process is the project scope statement which is the description of the project scope, the project's major deliverables, assumptions, and constraints. The Define Scope process formalizes what is included in the project scope and what is out of scope."
10,"You are leading a project to be developed incrementally in small releases. Requirements have been established for the initial release. Feedback from a focus group will determine the scope of each subsequent release. The client has established a strict budget for the entire project. In this adaptive environment, which is the best way to proceed?",,Use a traditional waterfall approach for the project,Add prioritized features to the project scope with each release until the budget is exhausted,"During initial project planning, develop a detailed budget for each release",Use a change control board (CCB) to prevent scope creep,B,"The question describes a project where the scope beyond the initial release is undetermined. In cases where the project scope will evolve throughout project execution, the scope and schedule may be adjusted to stay within the cost constraint. This approach is typically applied to projects lead using agile methods where the product backlog constitutes the project scope that is defined and redefined throughout the project. Thus, of the available choices, adding prioritized features with each release until the budget is exhausted is the correct answer."
