No,Question,Image_URL,Answer A,Answer B,Answer C,Answer D,Correct Answer,Explanation
1,"Following is an illustration of a project network activity node that includes some information about activity B. Assuming that work starts on day one (not day zero) and given the information provided, what is the late start of activity B?",images\test_3\q_1.png,35,36,37,39,C,"To answer this question, the first step is to understand the meaning of the values displayed on the network activity node. The accepted convention is shown below, where: ● ES = early start ● EF = early finish ● LS = late start ● LF = late finish The next step is to select a formula that calculates the late start using the values provided in the question. Option 1. The total float can be calculated using either one of the following formulas: ● Total Float = LF - EF ● Total Float = LS - ES Since both early start and total float are provided, use the formula that has the late start variable: Total Float = LS - ES Using basic math operations, the later start can be calculated as: LS = Total Float + ES = 16 + 21 = 37 Option 2. Alternatively, we could use the relevant formula from the backward pass of the critical path method. Since both late finish and duration are provided, we could use the late start formula, which takes the late finish, subtracts the duration, and then adds 1 to account for work starting on day one. LS = LF – D + 1 = 39 – 3 + 1 = 37 Here is the project schedule network activity node with late start filled in with the correct answer, 37:"
2,A previously identified risk has been realized which triggered a risk response. The project team compares the amount of the remaining budget within the cost baseline that was allocated for this risk to the amount of risk remaining in order to determine if the remaining funds are adequate. The result of the project team's analysis is captured in a burndown chart which will be shared with various project stakeholders. What type of analysis has the project team performed?,,SWOT analysis,Regression analysis,Contingency analysis,Reserve analysis,D,The scenario described in the question suggests that the project team is carrying out the Monitor Risks process. The budget within the cost baseline that was allocated for identified risks is known as contingency reserves. Reserve analysis is a data analysis technique which may be used during the Monitor Risks process. Reserve analysis compares the amount of the contingency reserves remaining to the amount of risk remaining at any time in the project in order to determine if the remaining reserve is adequate. The project team is using reserve analysis and creating a burndown chart to share with various stakeholders.
3,You and your project team have just completed the development of the project management plan for your agile project. You have requested one of the team members to schedule a meeting to present the finalized project management plan. The team member has asked who should be invited to the meeting. How should you respond?,,Invite the customer only because it is an agile project,Find the answer in the organization process assets,Invite only the project sponsor and the project team,Consult the project schedule network diagram,B,"The Project Management Professional (PMP)® Examination Content Outline contains a list of tasks for each domain, with which PMP aspirants are expected to be familiar. Task #11 of the planning domain states, ""Present the project management plan to the relevant stakeholders according to applicable policies and procedures in order to obtain approval to proceed with project execution."" The applicable policies and procedures should be included as part of the organizational process assets. These documents should indicate, among other information, who should be invited to the meeting to review and approve the project management plan. Therefore, of the available choices, researching the organization process assets is the best response."
4,"The project is in execution, but your project team is unable to stop arguing about the project milestones and the specific risks associated with them. This on-going conflict puts the project at risk of running behind schedule. What would likely have helped avoid this conflict had it been properly created first?",,A project charter,Physical resource assignments,Quality metrics,A work breakdown structure,D,"The WBS is considered by many project managers to be the heart of the projects lead by a predictive project management approach since a WBS lists the total scope of work to be carried out by the project team to accomplish the project objectives and create required deliverables. The milestone list is an output from the Define Activities process to which the WBS serves as an input (as part of the scope baseline). The risk register is an output from the Identify Risks process to which the WBS serves as an input (as part of the scope baseline) used as a framework to structure risk identification techniques. Had the project manager and the team taken the time to create a proper WBS, it is likely the team would have had a more accurate milestone list and risk register with which to finish their project management plan on time and avoid the conflict described in the scenario."
5,"According to the resource management plan, to accommodate for limited storage capacity, lumber should be purchased and delivered in the just-in-time fashion (JIT) in small shipments for the duration of the project. As project execution begins, the project manager learns of an opportunity to acquire lumber in one shipment but at a greatly reduced price from a supplier that has just entered the marketplace. Even with the added storage costs should all the lumber arrive in one big shipment, the cost savings will be significant. What is the best course of action for the project manager?",,Submit a change request through the Perform Integrated Change Control process,Follow the resource management plan as originally specified,Proceed with the acquisition of the lumber and storage facility to reduce project costs,Add the supplier to the preapproved seller list,A,"In order to take advantage of the opportunity to reduce costs, the resource management plan will need to be updated to reflect renting or acquisition of an additional storage facility. The resource management plan is a subsidiary of the project management plan. Any change to the project management plan requires an approved change request. Once the change request is submitted, the request will need to be evaluated against all other project constraints to make a determination based on the merits of the request. Therefore, of the available options, the best course of action is to process a change request through the Perform Integrated Change Control process."
6,"On a project to develop a new vaccine that may save lives, a team member thinks she has discovered a new approach that would yield better results than the original approach. She has submitted a change request to get additional material to conduct a small experiment and test her hypothesis. What should a project manager do first?",,Have the members of the change control board decide on the change request,Update project documents affected using the configuration management plan,Instruct the team to implement the change since the new vaccine may save lives,Make sure the impact of the change request on project constraints is analyzed,D,"A change request is a formal proposal to modify a document, deliverable, or baseline. After a change request has been submitted, it must be reviewed and analyzed using the Perform Integrated Change Control process as outlined in the change management plan. This includes an analysis of the impact of the change request on project constraints such as scope, schedule, cost, quality, risk, etc. A change control board or authorized individual such as the project sponsor will review, approve, postpone or deny change requests based on the results of this analysis. Since the question describes a situation in which a team member has already drafted a change request, the next step is to begin the Perform Integrated Change Control process and discover in what ways (if at all) the change request impacts the project and its constraints."
7,"Several critical parts were chrome plated by a vendor instead of zinc plated as specified in the contract. The vendor states that zinc plating the parts would not offer the required corrosion resistance to meet project requirements and insists on a significant increase in payment for plating the parts in chrome. After long negotiations, the dispute is eventually resolved and the contract is closed out. The project manager is closing the project now. What is the best way for the project manager to minimize the chance of a similar problem recurring in future projects?",,Update the lessons learned register,Ensure the knowledge gained is archived in the lessons learned repository,Remove the vendor from the preapproved seller list,Accept the fact that disputes are inevitable and move on to the next project,B,"In this scenario, a dispute has arisen with a vendor which is eventually resolved. It is vital that any lessons learned from this experience are captured to minimize the chance of the problem recurring. Since all of the contracts have been closed out at this point, the knowledge gained will only be of value to future projects. The lessons learned repository is a store of historical information about lessons learned from projects that can be used to improve performance for future projects. While documenting the lessons learned in the current project’s lessons learned register could be done as part of the Control Procurements process described in the scenario, ensuring that the knowledge gained is archived in the lessons learned repository is the best way to minimize the chance of a similar problem recurring in the future. A reasonable argument can be made that the knowledge gained should be captured in the lessons learned register, as the information recorded in the lessons learned register would be eventually transferred to the lessons learned repository. However, the question is asking to select an answer choice that describes the 'best' way to minimize the chance of the problem recurring and not the 'first' thing to do. It is important to read the questions carefully. With all of the contracts closed out, the lessons learned in this situation will only be of value to future projects. Ensuring the knowledge gained is archived in the lessons learned repository avoids even the possibility that the information will be lost in the transition. Therefore, ensuring that the knowledge gained is archived in the lessons learned repository is the 'best' answer to the question asked. Note, understanding the details provided in the scenario (chrome plating, zinc plating, etc.) is not required to select the correct answer. The details are given just to present a real-life example."
8,"You are working in a matrix environment, and your project team has recently been reduced by three team members. As a result, you will need more time from a team member who only spends 50% of their time on your project. Which of the following will have the most significant impact on your ability to acquire more of this employee's time?",,Decision making,Issue log,Training,Influencing,D,"Depending on the type of organizational structure, the authority of project managers over project resources may vary from little or none to high or almost total. When project managers have little or no direct authority over team members, which is typical in the matrix organization described in the scenario, their ability to influence stakeholders on a timely basis is critical to project success. Influencing skills include the ability to be persuasive, clearly articulate points, and gather relevant information to address issues while maintaining mutual trust. In this scenario, you have lost three key team members and need to utilize the resources that are still available. Influencing the employee's manager will have the most significant impact on your ability to acquire more of this employee's time for your project."
9,"A project sponsor has asked you to draft the project charter for a product development project. To start the process, you want to gather inputs from individuals and groups with specialized knowledge. What is your best course of action?",,Interview someone with technical knowledge of the product to be developed,Speak with someone who specializes in the project scheduling software,Meet with a group of quality assurance experts,Talk with the individual in charge of the organization's communications technology,A,"The question is asking for the form of expert judgment that might be beneficial in the development of the project charter. All of the answer choices describe forms of expert judgment. However, only technical knowledge of the industry and focus area of the project is relevant to the Develop Project Charter process. All of the incorrect answer choices describe forms of expert judgment for use in other project management processes. Therefore, of the available options, interviewing someone with technical knowledge of the product to be developed is the best answer to the question asked."
10,"You are planning a project to design and develop a new product, and you are in the process of determining the funding that will be necessary to execute the project. In support of this process, you have aggregated activity cost estimates and contingency reserves into control accounts. Once you have completed a summation of the control accounts, what will you have produced?",,Management reserve,Project budget,Cost baseline,Basis of estimates,C,"The cost baseline is the approved version of the time-phased budget, excluding management reserves. Cost estimates for the various project activities, along with any contingency reserves for these activities, are aggregated into their associated work package costs. The work package cost estimates, along with any contingency reserves estimated for the work packages, are aggregated into control accounts. The summation of the control accounts yields the cost baseline. Therefore, of the choices provided, the result of your efforts is best described as the cost baseline."
