No,Question,Image_URL,Answer A,Answer B,Answer C,Answer D,Correct Answer,Hint,Explanation,Details for Answer A,Details for Answer B,Details for Answer C,Details for Answer D
1,Which of the tools and techniques listed below is employed during the Plan Stakeholder Engagement process?,,Decision tree analysis,Benchmarking,Process analysis,Hierarchical charts,B,Which technique helps the project team ensure that the project's stakeholder engagement efforts compare favorably with other world-class efforts? Correct Answer: B,"There are six tools and techniques employed during the Plan Stakeholder Engagement process: ● Expert judgment ● Data gathering (e.g., benchmarking) ● Data analysis ● Decision making ● Data representation ● Meetings ---",Decision tree analysisIncorrect. Decision tree analysis is a data analysis technique used during the Perform Quantitative Risk Analysis process to support the selection of the best of several alternative courses of action. It is not employed during the Plan Stakeholder Engagement process.,BenchmarkingCorrect. Benchmarking is a data analysis tool used during the Plan Stakeholder Engagement process to compare the results of the project's stakeholder analysis with information obtained from other organizations or projects that are considered to be world class.,Process analysisIncorrect. Process analysis is a technique that is used during the Manage Quality process to identify opportunities for process improvements. It is not used during the Plan Stakeholder Engagement process.,"Hierarchical chartsIncorrect. Hierarchical charts are employed during the Plan Resource Management process to show positions, resources, relationships, and categories in a graphical, top-down format. It is not listed in the PMBOK® Guide as a tool or technique that is used during the Plan Stakeholder Engagement process."
2,Which of the following tools and techniques is used for both Control Resources and Manage Quality?,,Negotiation,Influencing,Problem solving,Flow charts,C,"With both Control Resources and Manage Quality, what could possibly go wrong? Correct Answer: C","Control Resources is the process of ensuring that the physical resources assigned and allocated to the project are available as planned, as well as monitoring the planned versus actual utilization of resources and performing corrective action as necessary. Control Resources has four tools and techniques: ● Data analysis (alternatives analysis, cost-benefit analysis, performance reviews, trend analysis) ● Problem solving ● Interpersonal and team skills (negotiation and influencing) ● Project mana","NegotiationIncorrect. Negotiation is an interpersonal and team skill that serves as a tool for the Control Resources process, but not the Manage Quality process.","InfluencingIncorrect. Influencing is also an interpersonal and team skill that serves as a tool for the Control Resources process, but not the Manage Quality process.","Problem solvingCorrect. Problem solving may help solve problems that arise during the Control Resource process, such as when machines used by another department are not released in time, causing a delay for your project. In managing quality, problem solving may also solve problems discovered in quality audits or issues where deliverables fail to pass quality verification.","Flow chartsIncorrect. Flow charts are a data representation tool that is used for the Manage Quality process, but not the Control Resources process."
3,Which of the following is an output of the Develop Schedule process?,,Activity list,Schedule data,Scope baseline,Resource breakdown structure,B,The Develop Schedule process generates a series of documents that support a schedule model with planned dates for completing project activities. Correct Answer: B,"The Develop Schedule process has the following seven outputs: ● Schedule baseline ● Project schedule ● Schedule data ● Project calendars ● Change requests ● Project management plan updates ● Project documents updates --- The Develop Schedule process is defined as ""the process of analyzing activity sequences, durations, resource requirements, and schedule constraints to create the project schedule model for project execution and monitoring and controlling"".",Activity listIncorrect. An activity list is a project document that includes the schedule activities required on the project. This document is an output from the Define Activities process and is one of the inputs (not outputs) to the Develop Schedule process.,"Schedule dataCorrect. The schedule data is an output of the Develop Schedule process and is the collection of information for describing and controlling the schedule. Therefore, schedule data is the correct answer.","Scope baselineIncorrect. While the scope baseline is an input to the Develop Schedule process, the schedule baseline is an output of the process.",Resource breakdown structureIncorrect. The resource breakdown structure is a hierarchical representation of resources by category and type and is not listed in the PMBOK® Guide as an output of the Develop Schedule process.
4,"The Conduct Procurements process has six outputs, including: ● Selected sellers ● Change requests ● Project management plan updates ● Project documents updates ● Organizational process assets updates Which of the following outputs is missing from the list?",,Work performance reports,Enterprise environmental factors updates,Verified deliverables,Agreements,D,"Conduct Procurements is the process of obtaining seller responses, selecting a seller, and awarding a contract. Correct Answer: D","Conduct Procurements is the process of obtaining seller responses, selecting a seller, and awarding a contract. The Conduct Procurements process has the following six outputs: ● Selected sellers ● Agreements --- ● Change requests ● Project management plan updates ● Project documents updates ● Organizational process assets updates",Work performance reportsIncorrect. Work performance reports are not included in the PMBOK® Guide as an output of the Conduct Procurements process.,Enterprise environmental factors updatesIncorrect. The PMBOK® Guide does not include enterprise environmental factors updates as an output of the Conduct Procurements process.,"Verified deliverablesIncorrect. Verified deliverables are deliverables that have been checked for correctness, and, therefore, are outputs of the Control Quality process, not the Conduct Procurements process.",AgreementsCorrect. An agreement is a contract between the buyer and seller for specified products. Agreements are outputs of the Conduct Procurements process.
5,Which of the following is an output of the Determine Budget process?,,Requirements traceability matrix,Contracts,Cost baseline,Resource breakdown structure,C,The Determine Budget process aggregates the estimated costs of individual activities or work packages to establish an authorized cost baseline. Correct Answer: C,"The Determine Budget process has the following outputs: ● Cost baseline ● Project funding requirements ● Project documents updates (cost estimates, project schedule, risk register) Determine Budget is the process of aggregating the estimated costs of individual activities or work packages to establish an authorized cost baseline.",Requirements traceability matrixIncorrect. Requirements traceability matrix is an output of the Collect Requirements process.,ContractsIncorrect. Contracts are most often an output of procurement processes.,Cost baselineCorrect. The cost baseline is one of the more important outputs of the Determine Budget process.,Resource breakdown structureIncorrect. Resource breakdown structure is an output of the Estimate Activity Resources process.
6,Which of the following is a tool and technique of the Identify Risks process?,,Project management information system,Trend analysis,Cost estimates,SWOT analysis,D,Which choice can be used to identify individual risks? Correct Answer: D,"Identify Risks is the process of identifying individual risks as well as sources of overall risk and documenting their characteristics. This process employs six tools & techniques: ● Expert judgment ● Data gathering ● Data analysis (e.g., SWOT analysis) ● Interpersonal and team skills ● Prompt lists ● Meetings",Project management information systemIncorrect. The project management information system is a tool used during the Implement Risk Response process. It is not a tool & technique in the PMBOK® Guide under the Identify Risks process.,"Trend analysisIncorrect. Trend analysis is a technique employed in many processes to forecast future performance based on past results. However, it is not used during the Identify Risks process.",Cost estimatesIncorrect. Cost estimates are not a tool or technique but are instead an input to the Identify Risks process.,"SWOT analysisCorrect. SWOT (Strengths, Weaknesses, Opportunities, and Threats) analysis is a technique used during the Identify Risks process to increase the breadth of identified risks."
7,Updates to which of the following are an output of the Perform Quantitative Risk Analysis process?,,Cost forecasts,Risk report,Risk register,Organizational process assets,B,The Perform Quantitative Risk Analysis process focuses on determining overall risk to the project's objectives. Correct Answer: B,"The Perform Quantitative Risk Analysis process is where the effect of identified individual project risks and other sources of uncertainty on overall project objectives is numerically analyzed. This process has only one output, which is the project documents updates (e.g., the risk report).","Cost forecastsIncorrect. Cost forecasts are inputs of the Perform Quantitative Risk Analysis process. However, updates to cost forecasts are neither inputs to nor outputs from this process.","Risk reportCorrect. Updates to the risk report are the single output of the Perform Quantitative Risk Analysis process, which analyzes the combined effect of individual project risks on overall project objectives.","Risk registerIncorrect. The risk register is not updated by the Perform Quantitative Risk Analysis process, because the process focuses on overall project risk.",Organizational process assetsIncorrect. Organizational process assets or OPAs are not updated by the Perform Quantitative Risk Analysis process.
8,Which of the following is not a tool and technique used during the Monitor Stakeholder Engagement process?,,Root cause analysis,Presentations,Communication styles assessment,Cultural awareness,C,Which tool and technique seems out of place in the Monitor Stakeholder Engagement process? Correct Answer: C,"Monitor Stakeholder Engagement is the process of monitoring project stakeholder relationships, and tailoring strategies for engaging stakeholders through the modification of engagement strategies and plans. This process uses six tools and techniques: ● Data analysis (including alternatives analysis, root cause analysis, and stakeholder analysis) ● Decision making (including multicriteria decision analysis and voting) ● Data representation (e.g., the stakeholder engagement assessment matrix) ● Co",Root cause analysisIncorrect. Root cause analysis is a technique used during the Monitor Stakeholder Engagement process to determine the basic underlying reason that stakeholder engagement is not having the planned effect.,PresentationsIncorrect. Presentations is a technique used during the Monitor Stakeholder Engagement process to provide clear information to stakeholders.,"Communication styles assessmentCorrect. Communications styles assessment is a technique used during the Plan Communications Management process to evaluate different communications styles and identify the preferred communication method, format, and content for planned communication activities.",Cultural awarenessIncorrect. Cultural awareness is a technique used during the Monitor Stakeholder Engagement process to help the project manager plan communications based on the cultural differences and requirements of stakeholders and team members.
9,Which of the following is not a tool and technique of the Develop Schedule process?,,What-if scenario analysis,Critical path method,Resource optimization,Rolling wave planning,D,One of the answers is a tool and technique typically used during the Define Activities process. Correct Answer: D,"The Develop Schedule process has the following eight tools and techniques: ● Schedule network analysis ● Critical path method ● Resource optimization ● Data analysis (e.g., what-if scenario analysis) ● Leads and lags ● Schedule compression ● Project management information system ● Agile release planning ---","What-if scenario analysisIncorrect. What-if scenario analysis is the process of evaluating scenarios to predict their effect on project objectives. The outcome of the what-if scenario analysis can be used to assess the feasibility of the project schedule under different conditions. Therefore, what-if analysis is a data analysis tool and technique used during the Develop Schedule process.",Critical path methodIncorrect. The critical path method is a tool and technique used during the Develop Schedule process to estimate the minimum project duration and determine the amount of flexibility on the logical network paths within the schedule model.,"Resource optimizationIncorrect. Resource optimization is used during the Develop Schedule process to adjust the start and finish dates of activities to adjust planned resource use to be equal to or less than resource availability. Therefore, resource optimization is a tool and technique used during the Develop Schedule process.","Rolling wave planningCorrect. Rolling wave planning is an iterative planning technique in which the work to be accomplished in the near term is planned in detail, while the work in the future is planned at a higher level. Rolling wave planning is a tool and technique typically used during the Define Activities process, and, therefore, the correct answer to the question asked."
10,Which of the following is not a tool or technique used during the Monitor Communication process?,,Observation/conversation,Communication methods,Interpersonal and team skills,Meetings,B,The correct answer is a tool and technique used in two of the three processes of Project Communication Management. Correct Answer: B,"Monitor Communications is the process of ensuring that the information needs of the project and its stakeholders are met. This process has the following five tools and techniques: ● Expert judgment ● Project management information system ● Data analysis ● Interpersonal and team skills (e.g., observations/conversation) ● Meetings ---","Observation/conversationIncorrect. Observation/conversation is one of the interpersonal and team skills used during the Monitor Communications process. Therefore, observation/conversation is a tool and technique used during the process.","Communication methodsCorrect. Communication methods are part of the tools and techniques used during the Plan Communication Management and Manage Communications processes. However, the PMBOK® Guide does not include communication methods among the tools and techniques used in the Monitor Communications process.",Interpersonal and team skillsIncorrect. Interpersonal and team skills are part of the tools and techniques used during the Monitor Communications process.,MeetingsIncorrect. The Monitor Communications process uses meetings as a tool and technique.
