No,Question,Image_URL,Answer A,Answer B,Answer C,Answer D,Correct Answer,Explanation
1,"Project execution has just begun. As the project manager, you want to ensure the work is being performed according to the required quality standards. What is your best course of action?",,Implement the quality management plan using the appropriate tools and techniques,Verify that the project deliverables conform to the standards established in the quality,Develop the quality management plan and define the quality standards for the project and,Obtain feedback from relevant stakeholders to evaluate their satisfaction,A,"The question states your project is in execution, and the scenario implies you want to carry out the Manage Quality process. During the Manage Quality process, quality activities are performed according to the quality management plan which was developed to incorporate the required quality standards. Therefore, to ensure the work is being performed according to the required quality standards, you need to implement the quality management plan using the tools and techniques specified in the plan. Task 3 of Domain III in the Project Management Professional (PMP)® Examination Content Outline reads, ""Implement the quality management plan using the appropriate tools and techniques in order to ensure that work is performed in accordance with required quality standards."""
2,"A project is divided into four sequential phases. The second phase of the project has just been completed, and the third phase is about to begin. What should the project manager do first?",,Begin the process of directing and managing the project work,Perform the process of identifying the project stakeholders,Start the process of monitoring and controlling the project work,Begin the process of developing the project management plan,B,"The process of identifying project stakeholders occurs for the first time in a project either before or at the same time the project charter is developed and approved. It is repeated as necessary but should be performed at the start of each phase and when a significant change in the project or organization occurs. Each time the identification process is repeated, the project management plan components and project documents should be consulted to identify relevant project stakeholders."
3,"A project manager contracted a vendor to develop the software for a new billing system. Shortly after the deliverables were formally accepted, the system crashed leading to downtime and a substantial financial loss. An internal investigation concluded that a computer virus had been residing in the new software due to the vendor's negligence. After the claim with the vendor is settled, what is the best way to prevent this issue from recurring?",,Record the final resolution of the problem in the issue log,Capture the situation and its resolution in the lessons learned register,Update the risk register with the implementation of the risk response,Conduct future software development projects with only internal resources,B,"The lessons learned register is a project document used to record knowledge gained during a project so that it can be used to improve the performance of the current project. At the end of the project, the information contained in the lessons learned register is then transferred to an organizational process asset called the lessons learned repository for use in future projects. Any information regarding claims and how they were resolved should be documented in the lessons learned register to avoid recurrences in the future. Note, the question does not explicitly mention future projects. It reads, ""What is the best way to prevent this issue from recurring?"" Even though future projects are not mentioned, it can be implied. Additionally, the question suggests the current project is over. Therefore, preventing this issue from recurring infers recurring in future projects. Therefore, of the available choices, capturing the knowledge gained in the lessons learned register is the best way to prevent the problem from recurring."
4,A project manager is in the process of developing the risk management plan. The project manager has just pulled a blank template of a risk breakdown structure (RBS) from the organizational process assets. What should the project manager do next?,,Determine the risk categories,Develop a comprehensive list of project risks,Create the risk register,Develop responses to individual project risks,A,"The question implies that the Plan Risk Management process is underway with the development of the risk management plan. One of the elements of the risk management plan is risk categories. Risk categories provide a means for grouping individual project risks. A common way to structure risk categories is with a risk breakdown structure (RBS), which is a hierarchical representation of potential sources of risk. An RBS helps the project team consider the full range of sources from which individual project risks may arise. This approach may help during the Identify Risks process to identify individual project risks as well as sources of overall project risks. The incorrect answer choices represent actions associated with Project Risk Management processes other than Plan Risk Management. Therefore, after obtaining a blank template of an RBS, the next logical step is to determine the risk categories for inclusion in the RBS."
5,A project manager has encountered a new issue during project execution and wants to document this issue in the issue log. What should the project manager do first?,,Add the issue to the issue log,Submit a change request to update the issue log,Analyze the impact of the issue and submit a change request to update the issue log,Consult the issue management plan on how to manage new issues on the project,A,"The issue log is a project document used by the project teams to document issues they encounter on the project. Unlike the project management plan, which is a controlled document, the issue log is a project document and not a part of the project management plan. To be updated, the issue log does not require a change request. When a new issue arises on the project, the project manager should first add the issue to the issue log, assign an owner and a target resolution date. The issue log should then be reviewed regularly to ensure the issues are addressed. No change request is needed when an uncontrolled document has to be updated. However, if the resolution of the issue will require the project team to take actions that will eventually affect any of the components of the project management plan, which is a controlled document, then a change request should be submitted and processed accordingly."
6,A project manager has been authorized to apply organizational resources to a new project. What should the project manager do next?,,Develop the summary milestone schedule,Create the assumption log,Develop the project business documents,Finalize the project charter,B,"The question states that the project manager has been authorized to apply organizational resources to the project, implying the project charter has been approved as part of the Develop Project Charter process. However, it does not necessarily mean that the process itself has been completed. At that point, the project business documents such as the benefits management plan and the business case would have been used as inputs to the Develop Project Charter process, the project charter would be finalized, and the summary milestone schedule would exist as part of the project charter. By process of elimination, the project manager should next create the assumption log, which is, in addition to the project charter, an output of the Develop Project Charter process."
7,"You are in the planning stage of a large project, which will require contracts with various vendors and suppliers to produce the project's deliverables. With the procurement management plan and make-or-buy analysis complete, you are about to begin the development of a document that will outline the procurement strategy for the project. Which of the following are you least likely to include in this document?",,Procurement delivery methods,Type of agreements,Responsibilities of stakeholders,Procurement phases,C,"The procurement strategy is determined as part of the Plan Procurement Management process. The procurement strategy, an output from this process, is comprised of three elements which include procurement delivery methods, type of agreements, and procurement phases. The question is asking for the element which is 'least' likely to be included in the procurement strategy. The responsibilities of stakeholders, as it pertains to procurements, is an element of the procurement management plan rather than the procurement strategy. Therefore, of the available options, the responsibilities of stakeholders is the best answer to the question asked."
8,You and your team are meeting to evaluate vendor proposals. One of the team members previously worked with Company A and praised their professionalism and quality. Another team member prefers Company B. Several other team members join the conversation by adding their opinions. What should you remind the team members to focus on to select a seller?,,Procurement statement of work (SOW),Bid documents,Source selection criteria,Procurement management plan,C,"Source selection criteria are a set of measurable attributes desired by the buyer which a seller is required to meet or exceed to be selected for a contract. By focusing on source selection criteria, a proposal can be evaluated quantitatively, thereby removing any personal biases."
9,"A project manager provides overall direction, training, and support to her cross-functional team, but entrusts the team to manage and track their own work assignments and make decisions as a group. The project manager participates in regular team meetings to monitor the team's progress and provide support, but generally stays out of discussions about workload or team decision making. What is the project manager employing to manage the team?",,Emotional intelligence,Self-organizing teams,Team building,Motivation,B,"This is an example of a self-organizing team, where the project manager provides overall direction and support while entrusting team members to make their own decisions and manage the work. The other answer choices may be part of the project manager's management approach, but self-organizing teams is the better answer choice."
10,"You are managing a new needs assessment project. While you are analyzing the monthly progress data your team has submitted, you notice that one of your project team members has spent half as much time working on a project activity than you had planned. What should you do?",,Reward the team member for finishing the activity ahead of schedule,Investigate further to determine if there is a problem,Issue a corrective action as you obviously overestimated the activity duration,Do nothing now and wait for the next month's progress data.,B,"The Monitor and Control Project Work process is part of Integration Management. The project manager must balance the demands of all the knowledge areas to control the project. You can't get a good understanding of how the project is performing against the project plan by only monitoring one aspect of the project, for example, one employee's activity report. Therefore, further investigation needs to be completed before acting on data from one process."
